% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:27"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
4,8064,2672.999999999995,2304.4229792476604,2424.4807853694306,2672.9999999999895,2304.4041725320126,2673.0000000000005,2304.3853627723397
4,8208,2672.999999999995,2307.896647158192,2428.169729168405,2672.9999999999895,2307.877791273655,2673.0000000000005,2307.8588976498704
4,8352,2672.999999999995,2311.385012889552,2431.8337045703993,2672.9999999999895,2311.3662824631338,2673.0000000000005,2311.3473966322313
4,8496,2672.999999999995,2314.8872158976405,2435.459570010798,2672.9999999999895,2314.8685842334735,2673.0000000000005,2314.84968826659
4,8640,2672.999999999995,2318.3973947744994,2439.042070765287,2672.9999999999895,2318.3786588629155,2673.0000000000005,2318.359703767319
4,8784,2672.999999999995,2321.9238100186258,2442.602663322275,2672.9999999999895,2321.904604023743,2673.0000000000005,2321.885394586022
4,8928,2672.999999999995,2325.4626857092926,2446.1228942145135,2672.9999999999895,2325.4433861947437,2673.0000000000005,2325.42407601648
4,9072,2672.999999999995,2329.0037569001424,2449.599465819548,2672.9999999999895,2328.984811984755,2673.0000000000005,2328.965684069304
4,9216,2672.999999999995,2332.5567665820513,2453.057001320504,2672.9999999999895,2332.538173313128,2673.0000000000005,2332.5191931872514
4,9360,2672.999999999995,2336.110051018155,2456.468633069889,2672.9999999999895,2336.09129145876,2673.0000000000005,2336.0722233207953
4,9504,2672.999999999995,2339.671924272603,2459.844725647503,2672.9999999999895,2339.6525599132924,2673.0000000000005,2339.633156744767
4,9648,2672.999999999995,2343.2459277170324,2463.1958020843203,2672.9999999999895,2343.2264582260204,2673.0000000000005,2343.206956191468
4,9792,2672.999999999995,2346.8197246234163,2466.5005221875413,2672.9999999999895,2346.800651898757,2673.0000000000005,2346.7813648361866
4,9936,2672.999999999995,2350.390025474556,2469.7698287421867,2672.9999999999895,2350.3714537638166,2673.0000000000005,2350.352460643532
4,10080,2672.999999999995,2353.9646156173308,2473.0137321598954,2672.9999999999895,2353.9461388395216,2673.0000000000005,2353.927219607121
4,10224,2672.999999999995,2357.5400198648267,2476.2073278126336,2672.9999999999895,2357.521046670154,2673.0000000000005,2357.501880242646
4,10368,2672.999999999995,2361.110819915391,2479.368085906223,2672.9999999999895,2361.0915312230172,2673.0000000000005,2361.072142705012
4,10512,2672.999999999995,2364.6750756288898,2482.4963637721708,2672.9999999999895,2364.655869396638,2673.0000000000005,2364.6365328640604
4,10656,2672.999999999995,2368.2384034916167,2485.5807547879404,2672.9999999999895,2368.2194647317324,2673.0000000000005,2368.2002941560795
4,10800,2672.999999999995,2371.8024094533534,2488.63611065307,2672.9999999999895,2371.7836379496885,2673.0000000000005,2371.764567005736
4,10944,2672.999999999995,2375.359686220194,2491.6538540261963,2672.9999999999895,2375.3408380014703,2673.0000000000005,2375.3217466177903
4,11088,2672.999999999995,2378.9024351196176,2494.6276202182025,2672.9999999999895,2378.8835301759277,2673.0000000000005,2378.8644316829686
4,11232,2672.999999999995,2382.438226104711,2497.5781031908127,2672.9999999999895,2382.4191969620533,2673.0000000000005,2382.4000560933637
4,11376,2672.999999999995,2385.971973089511,2500.4914507228073,2672.9999999999895,2385.952943368841,2673.0000000000005,2385.9337832537008
4,11520,2672.999999999995,2389.49475334757,2503.362498604121,2672.9999999999895,2389.4758982587564,2673.0000000000005,2389.4568771998406
4,11664,2672.999999999995,2392.998733435289,2506.2095638019928,2672.9999999999895,2392.9799789668723,2673.0000000000005,2392.9610839431334
4,11808,2672.999999999995,2396.4997238475066,2509.0165146896943,2672.9999999999895,2396.4810182901533,2673.0000000000005,2396.462170338564
4,11952,2672.999999999995,2399.9909196630956,2511.7862681764555,2672.9999999999895,2399.972165301548,2673.0000000000005,2399.9533008962276
4,12096,2672.999999999995,2403.468283063192,2514.526922601623,2672.9999999999895,2403.4494606687235,2673.0000000000005,2403.4305993618113
4,12240,2672.999999999995,2406.9289347360223,2517.2251914805884,2672.9999999999895,2406.910400486416,2673.0000000000005,2406.8918119166583
4,12384,2672.999999999995,2410.3690358319486,2519.889587119086,2672.9999999999895,2410.350935855975,2673.0000000000005,2410.33269050052
4,12528,2672.999999999995,2413.7980653885375,2522.527330911576,2672.9999999999895,2413.780207722938,2673.0000000000005,2413.7621149985707
4,12672,2672.999999999995,2417.21470841344,2525.121811502481,2672.9999999999895,2417.196708070679,2673.0000000000005,2417.1785375799263
4,12816,2672.999999999995,2420.6034560537782,2527.6881650660935,2672.9999999999895,2420.585149049522,2673.0000000000005,2420.566796023843
4,12960,2672.999999999995,2423.980880182578,2530.2222518170884,2672.9999999999895,2423.962601149724,2673.0000000000005,2423.94430963526
4,13104,2672.999999999995,2427.345850063502,2532.7160236115283,2672.9999999999895,2427.3278700410756,2673.0000000000005,2427.3098075198072
4,13248,2672.999999999995,2430.6879812716293,2535.182891257051,2672.9999999999895,2430.6703714770238,2673.0000000000005,2430.6526067532886
4,13392,2672.999999999995,2434.0080939635036,2537.616804690906,2672.9999999999895,2433.9906883291915,2673.0000000000005,2433.9731205780763
4,13536,2672.999999999995,2437.3076004172376,2540.009714979779,2672.9999999999895,2437.2900018698115,2673.0000000000005,2437.272343625429
4,13680,2672.999999999995,2440.5873410561117,2542.3780214512053,2672.9999999999895,2440.5695689612876,2673.0000000000005,2440.551772811969
4,13824,2672.999999999995,2443.8483959509213,2544.711311812749,2672.9999999999895,2443.83077896189,2673.0000000000005,2443.8131395158507
4,13968,2672.999999999995,2447.0743269164946,2547.008789955789,2672.9999999999895,2447.0570900950493,2673.0000000000005,2447.039788344922
4,14112,2672.999999999995,2450.285174479275,2549.278649537776,2672.9999999999895,2450.2681934211028,2673.0000000000005,2450.251105051718
4,14256,2672.999999999995,2453.4743549789837,2551.514309015197,2672.9999999999895,2453.4573988294765,2673.0000000000005,2453.440377607054
4,14400,2672.999999999995,2456.640944086431,2553.729100273964,2672.9999999999895,2456.623975850913,2673.0000000000005,2456.6069746115413
