% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 13:58"
% Table,Probe Table 1 - 
% Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
10556.47269919065,2672.9999999999995,2667.8765264354856,2654.241187420601,2670.662738684613,2643.510509295696,4.895396221031687
10736.47269919065,2672.9999999999995,2668.1527095738857,2655.2565856818437,2670.793490977369,2644.9888328786706,4.895396221031693
10916.47269919065,2672.9999999999995,2668.414095019047,2656.2172632276797,2670.9169483190776,2646.394326446929,4.895396221031691
11096.47269919065,2672.9999999999995,2668.66147398497,2657.126154831775,2671.0335159048436,2647.730499008477,4.895396221031701
11276.47269919065,2672.9999999999995,2668.8929148428897,2657.976238929524,2671.142274484672,2648.987498743317,4.895396221031693
11456.47269919065,2672.9999999999995,2669.114015712745,2658.78820118498,2671.2459888899875,2650.192770040397,4.895396221031697
11636.47269919065,2672.9999999999995,2669.32371391871,2659.5579909420853,2671.3441287520864,2651.3405849297123,4.895396221031693
11816.47269919065,2672.9999999999995,2669.5222556415897,2660.2865863049874,2671.4368334691144,2652.4319968196683,4.895396221031693
11996.47269919065,2672.9999999999995,2669.710132328672,2660.975927397188,2671.5243737745977,2653.4693798003896,4.895396221031697
12176.47269919065,2672.9999999999995,2669.8879185784576,2661.6280640018517,2671.6070293381845,2654.4552843495717,4.895396221031695
12356.47269919065,2672.9999999999995,2670.0561644579316,2662.2449848728197,2671.6850672543032,2655.3921990559884,4.895396221031697
12536.47269919065,2672.9999999999995,2670.215358578214,2662.8285814398337,2671.7587443818957,2656.28250660293,4.895396221031695
12716.47269919065,2672.9999999999995,2670.365994651148,2663.3806433530403,2671.8283075153686,2657.1284808566065,4.895396221031697
12896.47269919065,2672.9999999999995,2670.5085387318372,2663.902866784392,2671.893984109438,2657.93228785877,4.895396221031693
13076.47269919065,2672.9999999999995,2670.6433966681952,2664.396858736917,2671.9559887313685,2658.695989355298,4.895396221031693
13256.47269919065,2672.9999999999995,2670.7709938208063,2664.8641379706805,2672.014529544758,2659.421549643676,4.895396221031706
13436.47269919065,2672.9999999999995,2670.8917447495987,2665.306141854193,2672.06980117289,2660.1108399988248,4.895396221031703
13616.47269919065,2672.9999999999995,2671.005987390355,2665.724232323063,2672.121982121793,2660.765640990282,4.895396221031695
13796.47269919065,2672.9999999999995,2671.1140577479478,2666.1196977108916,2672.1712442746834,2661.3876469526217,4.895396221031698
13976.47269919065,2672.9999999999995,2671.216315126734,2666.4937564677657,2672.2177533310582,2661.978472090887,4.895396221031695
14156.47269919065,2672.9999999999995,2671.3130753036226,2666.847562160601,2672.2616618420398,2662.5396534031956,4.895396221031701
14336.47269919065,2672.9999999999995,2671.4046094892306,2667.182207075238,2672.303113818531,2663.0726528307882,4.895396221031698
14516.47269919065,2672.9999999999995,2671.49119984327,2667.4987246943906,2672.342248483653,2663.5788615623646,4.895396221031697
14696.47269919065,2672.9999999999995,2671.5721958775794,2667.7946626312187,2672.3787581875818,2664.054511294841,4.895396221031695
14876.47269919065,2672.9999999999995,2671.649553928975,2668.0772660842144,2672.413570014371,2664.5102291497747,4.895396221031691
15056.47269919065,2672.9999999999995,2671.722894834912,2668.3451216520025,2672.446506015609,2664.9438273574992,4.895396221031697
15236.47269919065,2672.9999999999995,2671.792312163247,2668.598574726702,2672.4776153027437,2665.3557354058153,4.895396221031708
15416.47269919065,2672.9999999999995,2671.85798425044,2668.838307421302,2672.5069877759242,2665.746889777165,4.895396221031698
15596.47269919065,2672.9999999999995,2671.9201107324525,2669.065040737585,2672.5347167213963,2666.118291887993,4.895396221031697
15776.47269919065,2672.9999999999995,2671.97888485883,2669.2794731988447,2672.5608943786106,2666.470918235021,4.895396221031675
15956.47269919065,2672.9999999999995,2672.033844973817,2669.479940776522,2672.585314683519,2666.8021344428944,4.895396221031684
