% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
521,1034.6274860958051,1014.2764441925874
522,1034.5579161742928,1014.1995902670753
523,1034.4883462527812,1014.1227363415621
524,1034.418776331268,1014.0458824160498
525,1034.3492064097563,1013.9690284905364
526,1034.2796364882436,1013.8921745650247
527,1034.210066566731,1013.8153206395118
528,1034.1404966452187,1013.7384667139986
529,1034.0709267237066,1013.6616127884859
530,1034.0013568021943,1013.5847588629736
531,1033.9317868806818,1013.507904937461
532,1033.86221695917,1013.4310510119483
533,1033.7926470376567,1013.3541970864354
534,1033.7230771161446,1013.2773431609228
535,1033.6535071946325,1013.2004892354097
536,1033.58393727312,1013.1236353098976
537,1033.5143673516077,1013.0467813843849
538,1033.4447974300954,1012.969927458872
539,1033.375227508583,1012.8930735333595
540,1033.30565758707,1012.8162196078465
541,1033.2360876655584,1012.7393656823338
542,1033.1665177440457,1012.6625117568211
543,1033.0969478225338,1012.5856578313084
544,1033.027377901021,1012.5088039057957
545,1032.9578079795094,1012.4319499802831
546,1032.8882380579964,1012.3550960547706
547,1032.8186681364841,1012.2782421292582
548,1032.749098214972,1012.2013882037452
549,1032.679528293459,1012.124534278233
550,1032.609958371948,1012.0476803527207
551,1032.5403884504346,1011.9708264272072
552,1032.4708185289223,1011.8939725016943
553,1032.40124860741,1011.817118576183
554,1032.3316786858975,1011.7402646506696
555,1032.2621087643854,1011.6634107251565
556,1032.1925388428729,1011.5865567996439
557,1032.122968921361,1011.5097028741318
558,1032.0533989998482,1011.4328489486188
559,1031.9838290783357,1011.3559950231058
560,1031.9142591568236,1011.2791410975929
561,1031.8446892353113,1011.20228717208
562,1031.7751193137997,1011.1254332465676
563,1031.705549392287,1011.048579321055
564,1031.6359794707741,1010.9717253955423
565,1031.5664095492616,1010.8948714700296
566,1031.4968396277498,1010.818017544517
567,1031.4272697062372,1010.7411636190039
568,1031.357699784725,1010.664309693492
569,1031.2881298632124,1010.5874557679788
570,1031.2185599417003,1010.5106018424658
571,1031.148990020188,1010.433747916954
572,1031.0794200986757,1010.3568939914405
573,1031.009850177163,1010.2800400659285
574,1030.9402802556508,1010.2031861404155
575,1030.870710334138,1010.126332214903
576,1030.8011404126262,1010.0494782893904
577,1030.729806440284,1009.9750856019953
578,1030.6584724679426,1009.9006929146001
579,1030.5871384956,1009.8263002272043
580,1030.5158045232579,1009.7519075398102
581,1030.4444705509168,1009.6775148524144
582,1030.3731365785743,1009.6031221650189
583,1030.3018026062327,1009.5287294776238
584,1030.2304686338907,1009.4543367902285
585,1030.1591346615492,1009.3799441028337
586,1030.087800689207,1009.3055514154378
587,1030.0164667168647,1009.2311587280426
588,1029.9451327445233,1009.1567660406474
589,1029.873798772182,1009.0823733532525
590,1029.80246479984,1009.0079806658573
591,1029.7311308274975,1008.933587978462
592,1029.6597968551555,1008.8591952910665
593,1029.5884628828142,1008.7848026036713
594,1029.517128910472,1008.7104099162764
595,1029.4457949381301,1008.6360172288814
596,1029.374460965788,1008.5616245414859
597,1029.3031269934465,1008.487231854091
598,1029.2317930211045,1008.4128391666952
599,1029.160459048763,1008.338446479301
600,1029.0891250764205,1008.2640537919051
601,1029.0177911040787,1008.1896611045098
602,1028.9464571317371,1008.1152684171145
603,1028.875123159395,1008.0408757297195
604,1028.8037891870538,1007.9664830423238
605,1028.7324552147115,1007.8920903549295
606,1028.6611212423693,1007.8176976675335
607,1028.589787270027,1007.7433049801389
608,1028.5184532976862,1007.6689122927428
609,1028.4471193253441,1007.5945196053474
610,1028.3757853530021,1007.5201269179527
611,1028.3044513806603,1007.4457342305577
612,1028.2331174083183,1007.3713415431622
613,1028.1617834359768,1007.2969488557668
614,1028.0904494636347,1007.2225561683712
615,1028.019115491292,1007.1481634809768
616,1027.947781518951,1007.0737707935815
617,1027.876447546609,1006.9993781061858
618,1027.805113574267,1006.9249854187904
619,1027.7337796019249,1006.8505927313954
620,1027.6624456295833,1006.7762000440008
621,1027.591111657241,1006.7018073566056
622,1027.5197776848997,1006.6274146692098
623,1027.4484437125575,1006.5530219818145
624,1027.377109740216,1006.4786292944199
625,1027.3057757678735,1006.4042366070252
