% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
301,1052.5460029653161,1030.713003961313,1059.7695377547211
302,1052.4930037150411,1030.6500329817236,1059.7044123821968
303,1052.4400044647668,1030.587062002134,1059.6392870096724
304,1052.3870052144914,1030.5240910225452,1059.574161637148
305,1052.3340059642173,1030.461120042955,1059.5090362646235
306,1052.2810067139428,1030.3981490633657,1059.4439108920992
307,1052.2280074636683,1030.3351780837766,1059.3787855195749
308,1052.1750082133938,1030.2722071041865,1059.3136601470505
309,1052.122008963119,1030.209236124598,1059.248534774526
310,1052.0690097128447,1030.146265145008,1059.1834094020016
311,1052.0160104625704,1030.083294165419,1059.1182840294773
312,1051.963011212296,1030.0203231858293,1059.053158656953
313,1051.910011962021,1029.9573522062396,1058.9880332844284
314,1051.8570127117468,1029.8943812266505,1058.922907911904
315,1051.8040134614719,1029.8314102470615,1058.8577825393797
316,1051.7510142111976,1029.7684392674712,1058.7926571668554
317,1051.6980149609233,1029.705468287882,1058.727531794331
318,1051.645015710648,1029.6424973082928,1058.6624064218065
319,1051.5920164603735,1029.5795263287037,1058.5972810492822
320,1051.5371107647568,1029.5128937839877,1058.5331144907611
321,1051.478010889387,1029.4382057959979,1058.4710573230473
322,1051.4189110140178,1029.3635178080087,1058.4090001553336
323,1051.3598111386475,1029.288829820019,1058.34694298762
324,1051.3007112632783,1029.2141418320286,1058.2848858199063
325,1051.2416113879085,1029.1394538440393,1058.2228286521927
326,1051.182511512538,1029.064765856048,1058.1607714844788
327,1051.1234116371684,1028.9900778680587,1058.0987143167652
328,1051.0643117617992,1028.9153898800682,1058.0366571490515
329,1051.005211886429,1028.840701892079,1057.9745999813376
330,1050.9461120110598,1028.7660139040886,1057.912542813624
331,1050.8870121356892,1028.6913259160988,1057.8504856459103
332,1050.8279122603203,1028.6166379281083,1057.7884284781965
333,1050.7688123849496,1028.5419499401191,1057.7263713104828
334,1050.7097125095802,1028.4672619521295,1057.6643141427692
335,1050.6506126342106,1028.3925739641393,1057.6022569750555
336,1050.5915127588407,1028.3178859761483,1057.5401998073419
337,1050.532412883471,1028.2431979881587,1057.478142639628
338,1050.473313008101,1028.1685100001694,1057.4160854719144
339,1050.4142131327314,1028.093822012179,1057.3540283042005
340,1050.3551132573616,1028.0191340241888,1057.2919711364868
341,1050.2960133819918,1027.9444460361995,1057.2299139687732
342,1050.2369135066222,1027.8697580482087,1057.1678568010595
343,1050.177813631252,1027.7950700602194,1057.1057996333457
344,1050.1187137558825,1027.7203820722293,1057.043742465632
345,1050.059613880513,1027.6456940842388,1056.9816852979184
346,1050.000514005143,1027.571006096249,1056.9196281302047
347,1049.9414141297732,1027.4963181082594,1056.8575709624909
348,1049.8823142544034,1027.421630120269,1056.7955137947772
349,1049.8232143790335,1027.3469421322786,1056.7334566270636
350,1049.7641145036637,1027.2722541442884,1056.6713994593497
351,1049.7050146282945,1027.1975661562992,1056.609342291636
352,1049.6459147529245,1027.122878168309,1056.5472851239224
353,1049.586814877555,1027.0481901803184,1056.4852279562085
354,1049.5277150021848,1026.9735021923293,1056.4231707884949
355,1049.4686151268156,1026.8988142043386,1056.3611136207812
356,1049.4095152514453,1026.8241262163492,1056.2990564530676
357,1049.3504153760755,1026.749438228359,1056.236999285354
358,1049.2913155007063,1026.6747502403684,1056.17494211764
359,1049.2322156253363,1026.6000622523788,1056.1128849499264
360,1049.1731157499669,1026.525374264389,1056.0508277822125
361,1049.1140158745964,1026.4506862763988,1055.988770614499
362,1049.054915999227,1026.375998288409,1055.9267134467852
363,1048.9958161238574,1026.3013103004196,1055.8646562790716
364,1048.9367162484873,1026.226622312429,1055.8025991113577
365,1048.8776163731181,1026.1519343244388,1055.740541943644
366,1048.8185164977479,1026.0772463364485,1055.6784847759304
367,1048.7594166223782,1026.0025583484587,1055.6164276082168
368,1048.7003167470089,1025.9278703604691,1055.554370440503
