% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2_halfduty.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:53"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,30060,2173.005659661714,2666.0743420581484,2449.1340037307405,2429.1184346055975,2668.677254082857,0.06531715441608055,32.2058432658213
72,10,30240,2173.0054010001604,2665.813141239529,2447.7931929106676,2427.7775256516707,2668.500347517361,0.0653522835698127,32.20611118552185
72,10,30420,2173.0051952567965,2665.5445062290783,2446.4523831386923,2426.436732036753,2668.3178802042403,0.06538785541028769,32.206089249738284
72,10,30600,2173.0050271837285,2665.266890801163,2445.11156386901,2425.0958789836914,2668.128705927288,0.0654251827435635,32.206322384857835
72,10,30780,2173.0048078872937,2664.9819417480057,2443.7707537699175,2423.7551846138977,2667.9340007659716,0.06546263898428477,32.2061215024469
72,10,30960,2173.004613286702,2664.6894003751518,2442.4299553912138,2422.414563152427,2667.733579532043,0.06550111536587763,32.20590196272753
72,10,31140,2173.0044598600502,2664.388237687675,2441.089159851348,2421.073875279497,2667.5266776159706,0.06554128828051098,32.20592583896692
72,10,31320,2173.0043252266605,2664.0794989541314,2439.748372747744,2419.7332461543756,2667.314041785541,0.06558203008604155,32.205706817903014
72,10,31500,2173.0041651887336,2663.7612324462425,2438.4075773620007,2418.392445136219,2667.0942204862927,0.06562497075133458,32.205918184784764
72,10,31680,2173.0039898431114,2663.4324378366446,2437.0667593036887,2417.0514377898485,2666.8664315961914,0.06567003147948294,32.20645161816932
72,10,31860,2173.0038690222254,2663.095435037815,2435.7259498280478,2415.7107193570923,2666.6323287041464,0.06571470558720127,32.20622297148486
72,10,32040,2173.0037251698063,2662.7500334883152,2434.3851498481617,2414.3700554762386,2666.3918017674987,0.06576059219759003,32.20600726160867
72,10,32220,2173.0035434945326,2662.394931764746,2433.044349154008,2413.0293150276634,2666.143879131114,0.06580843783856892,32.206082753711236
72,10,32400,2173.0034059855,2662.030401849984,2431.703548198284,2411.6885641386825,2665.8887469854803,0.06585750498983862,32.206097820311044
72,10,32580,2173.0033048472437,2661.6548555771687,2430.3627346894154,2410.347674685114,2665.6251894753523,0.06590873543183992,32.206405775416954
72,10,32760,2173.0031699099336,2661.2704426217892,2429.0219354309206,2409.0070449151117,2665.354729481072,0.06595994558479265,32.20608273890912
72,10,32940,2173.003039749949,2660.8772377253163,2427.6811554924516,2407.666558197057,2665.077447572907,0.06601220262985613,32.20565041462849
72,10,33120,2173.002920986872,2660.4740176889627,2426.3403872077897,2406.326046781804,2664.792433746126,0.06606641291707663,32.205466759860535
72,10,33300,2173.0028172293432,2660.060379521608,2424.999622814318,2404.9854376966755,2664.499381979422,0.06612248750630355,32.20545757752097
72,10,33480,2173.0027244672215,2659.6361079198246,2423.65885930456,2403.644762559139,2664.1981026200165,0.06618017058591656,32.205480329694964
72,10,33660,2173.002629445928,2659.200161859338,2422.318087826098,2402.3039668913752,2663.887775584225,0.06623996218166364,32.20570615988247
72,10,33840,2173.0025224834326,2658.7525255873365,2420.9773055846613,2400.963088543567,2663.568347990374,0.06630152474333642,32.20596584986924
72,10,34020,2173.002412600191,2658.2949723291804,2419.636532488129,2399.62241056602,2663.241114469471,0.0663634668870896,32.20569671812572
72,10,34200,2173.0023147861566,2657.825397631879,2418.295760882453,2398.281733994206,2662.9044807567243,0.06642776350233907,32.205713087750546
