% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,10,10,8085.6,2673.0000000000014,2653.3254823934344,2644.365141980685,2672.999999999996,2653.3211807007738,2673.0000000000023,2653.316999984788,2641.518440851443,2637.7190601831644,2608.083358497237,155.83333333333363,-748413.2705773985
4,10,10,8092.8,2673.0000000000014,2653.3674209100614,2644.436774531008,2672.999999999996,2653.36321923713,2673.0000000000023,2653.35914157662,2641.595350095354,2637.8024975842395,2608.2104420965998,155.83333333333366,-746810.90678388
4,10,10,8100,2673.0000000000014,2653.409215630056,2644.5082264512066,2672.999999999996,2653.40502632898,2673.0000000000023,2653.4010170218876,2641.672070014367,2637.8857372894263,2608.3372863703767,155.83333333333354,-745218.6627699534
4,10,10,8107.2,2673.0000000000014,2653.4507729538855,2644.579496787936,2672.999999999996,2653.4465803518397,2673.0000000000023,2653.442561115954,2641.7486023773563,2637.968777735877,2608.4638946741993,155.83333333333343,-743639.0178333893
4,10,10,8114.400000000001,2673.0000000000014,2653.4924779220632,2644.650587446245,2672.999999999996,2653.4882102143415,2673.0000000000023,2653.484071240808,2641.824946895509,2638.0516211091085,2608.5902662087988,155.83333333333357,-742060.6645196131
4,10,10,8121.6,2673.0000000000014,2653.534173603846,2644.7214997329647,2672.999999999996,2653.529871794995,2673.0000000000023,2653.525692299846,2641.9011025871914,2638.1342725975555,2608.7164007138263,155.83333333333363,-740478.0931182505
4,10,10,8128.8,2673.0000000000014,2653.5757571842587,2644.7922324360547,2672.999999999996,2653.571495898398,2673.0000000000023,2653.5673717317304,2641.9770722854164,2638.2167297802184,2608.842299886559,155.8333333333336,-738893.3021863922
4,10,10,8136,2673.0000000000014,2653.617309039582,2644.862786413187,2672.999999999996,2653.6130852969786,2673.0000000000023,2653.609047425277,2642.052855985183,2638.2989913918514,2608.967962560985,155.83333333333357,-737308.6533985331
4,10,10,8143.2,2673.0000000000014,2653.6587901213497,2644.933162576974,2672.999999999996,2653.6545703914685,2673.0000000000023,2653.650532533273,2642.1284543446172,2638.3810558940745,2609.093391058384,155.83333333333368,-735731.25130896
4,10,10,8150.400000000001,2673.0000000000014,2653.6999834354297,2645.003359573363,2672.999999999996,2653.6958263542756,2673.0000000000023,2653.691785114837,2642.2038666161384,2638.462923761877,2609.2185847296446,155.83333333333363,-734162.6906492016
