% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 26 2024, 13:19"
% Table,Accumulated Probe Table 2 - 
% k_C (W/(m*K)),D_C (m),H (m),k_Sn (W/(m*K)),U_Sn (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
10,0.2,1,60,0.01,33447.0311486048,2173.0000000000005,2258.3482342158636,2216.681812855747,2206.06493059161,2271.220389407595
10,0.2,1,60,0.01,33674.56197274497,2173.0000000000005,2256.74278932733,2215.822285632829,2205.405641633407,2269.397471604123
10,0.2,1,60,0.01,33902.09279688514,2173.0000000000005,2255.16343335584,2214.9781179912243,2204.7580327405785,2267.6033755428066
10,0.2,1,60,0.01,34129.623621025305,2173.0000000000005,2253.6101105569014,2214.149740275745,2204.1224960780855,2265.8390138850505
10,0.2,1,60,0.01,34357.15444516548,2173.0000000000005,2252.082684396304,2213.337022537081,2203.499313252252,2264.1042360513175
10,0.2,1,60,0.01,34584.68526930564,2173.0000000000005,2250.5816241982207,2212.539720272515,2202.8885828978914,2262.398689209256
10,0.2,1,60,0.01,34812.216093445815,2173.0000000000005,2249.107359245799,2211.757567298827,2202.2900043039795,2260.7220145663714
10,0.2,1,60,0.01,35039.74691758598,2173.0000000000005,2247.6596648285836,2210.9902966013956,2201.7030258268856,2259.073874837869
10,0.2,1,60,0.01,35267.277741726146,2173.0000000000005,2246.237691679219,2210.2376452069057,2201.127245612632,2257.453927499706
10,0.2,1,60,0.01,35494.80856586632,2173.0000000000005,2244.8405533726586,2209.4993547354675,2200.5625925443937,2255.8618002299336
10,0.2,1,60,0.01,35722.339390006484,2173.0000000000005,2243.4678068614794,2208.7751715018617,2200.009096374492,2254.2970975138255
10,0.2,1,60,0.01,35949.87021414666,2173.0000000000005,2242.119338469637,2208.0648462872637,2199.466592605327,2252.7594272102583
10,0.2,1,60,0.01,36177.40103828682,2173.0000000000005,2240.79491533528,2207.368134393982,2198.934694447103,2251.2484175446575
10,0.2,1,60,0.01,36404.931862426994,2173.0000000000005,2239.493993120235,2206.6847951421146,2198.4130583224573,2249.763709136579
10,0.2,1,60,0.01,36632.46268656716,2173.0000000000005,2238.2159963669546,2206.0145906295456,2197.9016045530484,2248.3049352982907
10,0.2,1,60,0.01,36859.99351070733,2173.0000000000005,2236.960734366997,2205.3572849137086,2197.4003706280873,2246.8717165844832
10,0.2,1,60,0.01,37087.5243348475,2173.0000000000005,2235.7284005139536,2204.7126431309503,2196.9092016773866,2245.4636771046016
10,0.2,1,60,0.01,37315.05515898767,2173.0000000000005,2234.5189953333215,2204.080432959869,2196.427673170105,2244.080460849428
10,0.2,1,60,0.01,37542.585983127836,2173.0000000000005,2233.3318557950624,2203.460427669829,2195.9553431158624,2242.721727256193
10,0.2,1,60,0.01,37770.11680726801,2173.0000000000005,2232.1659339124185,2202.852407202996,2195.4920884144763,2241.3871303880587
10,0.2,1,60,0.01,37997.647631408174,2173.0000000000005,2231.020481032653,2202.256157191425,2195.0380896348775,2240.076303350035
10,0.2,1,60,0.01,38225.17845554834,2173.0000000000005,2229.895379586468,2201.6714668094396,2194.5934268027727,2238.7888655704764
10,0.2,1,60,0.01,38452.70927968851,2173.0000000000005,2228.79091339577,2201.098126143923,2194.1577849995024,2237.5244469046943
10,0.2,1,60,0.01,38680.24010382868,2173.0000000000005,2227.707196624811,2200.535925385684,2193.7305972322674,2236.282704009467
10,0.2,1,60,0.01,38907.77092796885,2173.0000000000005,2226.6472669698683,2199.9865072961156,2193.312707843634,2235.0670981624107
10,0.2,1,60,0.01,39135.301752109015,2173.0000000000005,2225.60459151839,2199.4466391271308,2192.902196637917,2233.8711086010985
10,0.2,1,60,0.01,39362.83257624919,2173.0000000000005,2224.582892326893,2198.9184497408746,2192.501266732013,2232.699161549688
10,0.2,1,60,0.01,39590.36340038935,2173.0000000000005,2223.5779066555947,2198.399386650365,2192.1075350668575,2231.5460463635395
10,0.2,1,60,0.01,39817.894224529526,2173.0000000000005,2222.5905857231364,2197.889915124413,2191.7210129274386,2230.4127742342916
10,0.2,1,60,0.01,40045.42504866969,2173.0000000000005,2221.621280537859,2197.390293485427,2191.341774694863,2229.2999339139415
10,0.2,1,60,0.01,40272.955872809864,2173.0000000000005,2220.669743915269,2196.900427925695,2190.9699344211904,2228.2073821653994
10,0.2,1,60,0.01,40500.48669695003,2173.0000000000005,2219.7358806327516,2196.4201535888624,2190.6056716264993,2227.1348234845377
10,0.2,1,60,0.01,40728.0175210902,2173.0000000000005,2218.8197287057087,2195.949292258537,2190.248941628208,2226.0819386806647
10,0.2,1,60,0.01,40955.54834523037,2173.0000000000005,2217.9210975133224,2195.4876662412835,2189.899406411254,2225.0484172194624
10,0.2,1,60,0.01,41183.07916937053,2173.0000000000005,2217.039412123504,2195.035102926152,2189.5566663593513,2224.0339577599734
10,0.2,1,60,0.01,41410.609993510705,2173.0000000000005,2216.173949394028,2194.5914356658973,2189.2205187579925,2223.0382552775836
10,0.2,1,60,0.01,41638.14081765087,2173.0000000000005,2215.324225671214,2194.1565012788164,2188.8910116045145,2222.060991915091
10,0.2,1,60,0.01,41865.67164179104,2173.0000000000005,2214.4901830892654,2193.7301368880594,2188.568243528782,2221.10184401615
10,0.2,1,60,0.01,42093.20246593121,2173.0000000000005,2213.672033517741,2193.3121786467136,2188.252129621587,2220.160500480765
10,0.2,1,60,0.01,42320.73329007138,2173.0000000000005,2212.8698524145702,2192.902463549798,2187.942390268938,2219.2366739249237
10,0.2,1,60,0.01,42548.264114211546,2173.0000000000005,2212.083280393072,2192.5008331289337,2187.6387268324843,2218.330092845041
10,0.2,1,60,0.01,42775.79493835172,2173.0000000000005,2211.3116246124596,2192.1071351577466,2187.3409864633754,2217.4404821721014
10,0.2,1,60,0.01,43003.325762491884,2173.0000000000005,2210.5542749205993,2191.721221679491,2187.049174033089,2216.5675512410685
10,0.2,1,60,0.01,43230.85658663206,2173.0000000000005,2209.8109810938663,2191.342946192746,2186.763304946662,2215.711000489069
10,0.2,1,60,0.01,43458.38741077222,2173.0000000000005,2209.081757984826,2190.9721628209268,2186.483278194381,2214.8705383475203
10,0.2,1,60,0.01,43685.91823491239,2173.0000000000005,2208.366552762211,2190.6087282172953,2186.2088917208157,2214.0458909120966
10,0.2,1,60,0.01,43913.44905905256,2173.0000000000005,2207.6650918811597,2190.2525028734517,2185.9399443749226,2213.236796476126
10,0.2,1,60,0.01,44140.979883192726,2173.0000000000005,2206.97701411433,2189.9033501692556,2185.676323720941,2212.4429928698396
10,0.2,1,60,0.01,44368.5107073329,2173.0000000000005,2206.302092086301,2189.561134219671,2185.41799545327,2211.6642123438946
10,0.2,1,60,0.01,44596.04153147306,2173.0000000000005,2205.640235025207,2189.2257194383233,2185.1649108735614,2210.900188581063
10,0.2,1,60,0.01,44823.572355613236,2173.0000000000005,2204.9912789920286,2188.8969728534144,2184.916955783474,2210.1506657107943
