% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,8190,2672.9999999999995,2201.9544202083594,2405.0464597537352,2435.89240402154,2187.5237821019823,0.24229738871773054,5.233893360880596E8,2432.252187984901
5,0.02,8280,2672.9999999999995,2203.1215736410823,2407.473245331314,2438.237126613982,2188.224934916763,0.24229738871773054,5.233893360880596E8,2434.60587220808
5,0.02,8370,2672.9999999999995,2204.3190028945583,2409.893551597816,2440.57243475157,2188.9498722632898,0.24229738871773054,5.233893360880596E8,2436.9504163979113
5,0.02,8460,2672.9999999999995,2205.5292604400174,2412.3083059026008,2442.8994813786753,2189.6948022664683,0.24229738871773027,5.233893360880596E8,2439.2867923993267
5,0.02,8550,2672.9999999999995,2206.775560493825,2414.7156926652497,2445.219195948819,2190.4677002399812,0.24229738871773088,5.233893360880596E8,2441.616126182435
5,0.02,8640,2672.9999999999995,2208.0538066193767,2417.116448994316,2447.530300185301,2191.26510569755,0.24229738871773068,5.233893360880596E8,2443.9370699581377
5,0.02,8730,2672.9999999999995,2209.3634196810895,2419.510431018717,2449.832675603625,2192.0871637354867,0.24229738871773046,5.233893360880596E8,2446.249562286805
5,0.02,8820,2672.9999999999995,2210.7215455281353,2421.8967901813517,2452.1244228685055,2192.935788202627,0.2422973887177306,5.233893360880596E8,2448.5517673167456
5,0.02,8910,2672.9999999999995,2212.0999670073793,2424.2761704880218,2454.4067585062867,2193.808975620424,0.2422973887177306,5.233893360880596E8,2450.844714937977
5,0.02,9000,2672.9999999999995,2213.5005372856353,2426.6482796055266,2456.6803351353633,2194.708238062072,0.24229738871773077,5.233893360880596E8,2453.1291076725383
5,0.02,9090,2672.9999999999995,2214.911266654748,2429.014256808208,2458.9462438707337,2195.629215833882,0.24229738871773082,5.233893360880596E8,2455.405908438261
5,0.02,9180,2672.9999999999995,2216.3555816092644,2431.3720818308207,2461.204820939343,2196.5802748205892,0.24229738871773082,5.233893360880596E8,2457.6756520379636
5,0.02,9270,2672.9999999999995,2217.8320162686177,2433.722607295366,2463.454619484159,2197.5572854714774,0.24229738871773096,5.233893360880596E8,2459.936833590552
5,0.02,9360,2672.9999999999995,2219.341350217062,2436.0656496048473,2465.6950910533055,2198.5601873269256,0.2422973887177304,5.233893360880596E8,2462.188962797713
5,0.02,9450,2672.9999999999995,2220.864877383985,2438.402333625349,2467.9272780017573,2199.58473551661,0.24229738871773068,5.233893360880596E8,2464.4329137515483
5,0.02,9540,2672.9999999999995,2222.429055471571,2440.7302755974674,2470.1501460778177,2200.639588315945,0.24229738871773068,5.233893360880596E8,2466.6678638347585
5,0.02,9630,2672.9999999999995,2224.0286113215298,2443.0501824111047,2472.3622402343626,2201.7211001466326,0.24229738871773088,5.233893360880596E8,2468.8922826848852
5,0.02,9720,2672.9999999999995,2225.6617939564803,2445.361778526662,2474.563166446591,2202.8295546647532,0.24229738871773082,5.233893360880596E8,2471.105813159234
5,0.02,9810,2672.9999999999995,2227.308365819884,2447.666412520647,2476.7551576583764,2203.960677814444,0.24229738871773054,5.233893360880596E8,2473.310514897974
5,0.02,9900,2672.9999999999995,2228.99389826345,2449.9613509630058,2478.936114932486,2205.123530694801,0.24229738871773104,5.233893360880596E8,2475.504485443329
5,0.02,9990,2672.9999999999995,2230.7141756797723,2452.247381476696,2481.104931190157,2206.3140073908803,0.24229738871773068,5.233893360880596E8,2477.686558115816
5,0.02,10080,2672.9999999999995,2232.4659626290445,2454.5242529858733,2483.2619531569235,2207.5326191833337,0.24229738871773018,5.233893360880596E8,2479.8571002981066
5,0.02,10170,2672.9999999999995,2234.2299310000976,2456.7936012055566,2485.409980371419,2208.7745935107428,0.24229738871773054,5.233893360880596E8,2482.018749865444
5,0.02,10260,2672.9999999999995,2236.050088724092,2459.0513574622632,2487.542947469671,2210.050804075044,0.24229738871773068,5.233893360880596E8,2484.165743606984
5,0.02,10350,2672.9999999999995,2237.917226951856,2461.2982879152805,2489.658496108635,2211.355656931997,0.24229738871773054,5.233893360880596E8,2486.2956518078636
5,0.02,10440,2672.9999999999995,2239.7864892416555,2463.537308471748,2491.76628036124,2212.6843437244884,0.2422973887177306,5.233893360880596E8,2488.4178717775226
5,0.02,10530,2672.9999999999995,2241.6773945007385,2465.7654324000646,2493.86411306279,2214.0468945392086,0.24229738871773054,5.233893360880596E8,2490.5303456721285
5,0.02,10620,2672.9999999999995,2243.5757537122895,2467.985638148773,2495.953941280063,2215.433597352524,0.24229738871773093,5.233893360880596E8,2492.634851169514
5,0.02,10710,2672.9999999999995,2245.4892106239568,2470.1969487946094,2498.035757688135,2216.8475853147797,0.2422973887177306,5.233893360880596E8,2494.731465305737
5,0.02,10800,2672.9999999999995,2247.443629756539,2472.3971384948536,2500.106205400301,2218.2945432482193,0.2422973887177306,5.233893360880596E8,2496.8170294505203
5,0.02,10890,2672.9999999999995,2249.414043382073,2474.5893506408192,2502.1674612219126,2219.764185628105,0.24229738871773046,5.233893360880596E8,2498.8935181876677
5,0.02,10980,2672.9999999999995,2251.4771728710352,2476.7676266168055,2504.206172274405,2221.268000149001,0.24229738871773096,5.233893360880596E8,2500.9480844542654
5,0.02,11070,2672.9999999999995,2253.555652462165,2478.935722026609,2506.232815427078,2222.798833888591,0.2422973887177306,5.233893360880596E8,2502.9907688038343
5,0.02,11160,2672.9999999999995,2255.6503191013685,2481.093068022636,2508.2472708559503,2224.359019846238,0.24229738871773068,5.233893360880596E8,2505.02141025575
5,0.02,11250,2672.9999999999995,2257.762512419615,2483.2395804603643,2510.249741424851,2225.948695954599,0.24229738871773054,5.233893360880596E8,2507.040201786734
5,0.02,11340,2672.9999999999995,2259.8947507070584,2485.3752027681985,2512.2402655788574,2227.5675259480013,0.24229738871773068,5.233893360880596E8,2509.0471968953348
5,0.02,11430,2672.9999999999995,2262.0495072632802,2487.4998661825157,2514.2187441330243,2229.2150214346307,0.24229738871773082,5.233893360880596E8,2511.0423247673803
5,0.02,11520,2672.9999999999995,2264.2131935996363,2489.6156335412416,2516.1885058090356,2230.885891671261,0.2422973887177303,5.233893360880596E8,2513.0288203297728
5,0.02,11610,2672.9999999999995,2266.4104749172793,2491.7188882841306,2518.1450648475607,2232.5889235490317,0.2422973887177306,5.233893360880596E8,2515.0023708896274
5,0.02,11700,2672.9999999999995,2268.6192750404625,2493.8131090455627,2520.092273724664,2234.314732220781,0.24229738871773077,5.233893360880596E8,2516.9666579356817
5,0.02,11790,2672.9999999999995,2270.867163231465,2495.8944755529296,2522.024709214967,2236.0719486313446,0.2422973887177304,5.233893360880596E8,2518.916459391948
5,0.02,11880,2672.9999999999995,2273.1476100133686,2497.9640730532115,2523.9422188120793,2237.8564322515367,0.24229738871773077,5.233893360880596E8,2520.8515740864036
5,0.02,11970,2672.9999999999995,2275.45739294769,2500.0216904479967,2525.8448221502395,2239.668319129491,0.24229738871773113,5.233893360880596E8,2522.7720082125547
5,0.02,12060,2672.9999999999995,2277.7763107068163,2502.069667330654,2527.7376386325072,2241.503133194748,0.24229738871773132,5.233893360880596E8,2524.682748028968
5,0.02,12150,2672.9999999999995,2280.1270306689166,2504.1038719462817,2529.6145448064167,2243.369866253083,0.24229738871773143,5.233893360880596E8,2526.577814846195
5,0.02,12240,2672.9999999999995,2282.5035860142666,2506.1255498850196,2531.4760975602885,2245.26424642404,0.24229738871773027,5.233893360880596E8,2528.457716964761
