% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
329,1051.6211388956817,1028.867329943113,1062.537718708522
330,1051.5647033128605,1028.794178756717,1062.480392358994
331,1051.508267730039,1028.7210275703208,1062.4230660094674
332,1051.4518321472176,1028.647876383924,1062.3657396599406
333,1051.3953965643952,1028.5747251975286,1062.3084133104128
334,1051.3389609815747,1028.501574011132,1062.2510869608852
335,1051.2825253987533,1028.4284228247352,1062.1937606113577
336,1051.2260898159316,1028.3552716383385,1062.1364342618306
337,1051.1696542331108,1028.2821204519425,1062.0791079123019
338,1051.1132186502887,1028.2089692655459,1062.0217815627768
339,1051.0567830674674,1028.1358180791497,1061.9644552132481
340,1051.0003474846465,1028.0626668927541,1061.907128863721
341,1050.943911901825,1027.9895157063577,1061.8498025141942
342,1050.887476319004,1027.9163645199608,1061.7924761646664
343,1050.8310407361823,1027.843213333564,1061.7351498151368
344,1050.7746051533616,1027.7700621471681,1061.6778234656108
345,1050.7181695705397,1027.6969109607714,1061.6204971160832
346,1050.6617339877184,1027.6237597743757,1061.563170766556
347,1050.6052984048968,1027.5506085879797,1061.5058444170286
348,1050.5488628220758,1027.477457401583,1061.4485180675015
349,1050.4924272392539,1027.4043062151864,1061.391191717975
350,1050.4359916564329,1027.3311550287901,1061.3338653684475
351,1050.3795560736112,1027.258003842394,1061.2765390189181
352,1050.3231204907897,1027.1848526559972,1061.219212669392
353,1050.266684907969,1027.1117014696006,1061.1618863198637
354,1050.2102493251477,1027.0385502832041,1061.104559970337
355,1050.153813742326,1026.965399096808,1061.0472336208093
356,1050.0973781595044,1026.8922479104117,1060.9899072712817
357,1050.040942576683,1026.819096724016,1060.9325809217542
358,1049.984506993862,1026.7459455376202,1060.8752545722275
359,1049.927067960395,1026.6716593765448,1060.8181134039205
360,1049.86895995983,1026.596616565684,1060.7610956897604
361,1049.8108519592658,1026.5215737548242,1060.7040779755998
362,1049.752743958701,1026.446530943963,1060.6470602614404
363,1049.6946359581364,1026.3714881331027,1060.5900425472823
364,1049.6365279575718,1026.2964453222417,1060.533024833122
365,1049.5784199570069,1026.2214025113817,1060.4760071189621
366,1049.520311956443,1026.146359700522,1060.4189894048031
367,1049.4622039558787,1026.0713168896607,1060.3619716906433
368,1049.4040959553142,1025.9962740788,1060.3049539764836
369,1049.3459879547495,1025.9212312679401,1060.2479362623246
370,1049.2878799541847,1025.846188457079,1060.1909185481647
371,1049.2297719536207,1025.7711456462193,1060.1339008340046
372,1049.1716639530564,1025.6961028353587,1060.0768831198445
373,1049.1135559524914,1025.6210600244972,1060.0198654056853
374,1049.0554479519265,1025.546017213637,1059.9628476915261
375,1048.9973399513626,1025.470974402777,1059.9058299773662
