% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,16920,2173.098654729623,2672.8410908449846,2547.013400269606,2526.9951779949624,2672.9295659119603,0.06443352728682,32.20016789382106
72,10,17100,2173.0941148693296,2672.8292385585582,2545.672575206416,2525.6543798111757,2672.923779531769,0.06443505109777947,32.20045823027056
72,10,17280,2173.089834627019,2672.8167001026645,2544.331751034785,2524.3135932064793,2672.917619634472,0.06443662875072947,32.20071450741998
72,10,17460,2173.0865233387544,2672.8032956988422,2542.990926533317,2522.972786245562,2672.910985770589,0.06443839112879872,32.20094483096012
72,10,17640,2173.083784331198,2672.789120129765,2541.650102094445,2521.6319750340267,2672.9039269119858,0.06444021320062901,32.2011183763515
72,10,17820,2173.080319789993,2672.7740008896785,2540.3092761639,2520.2911597110956,2672.8963445838217,0.0644422171899442,32.20136872586864
72,10,18000,2173.076575476734,2672.758053871686,2538.9684507092884,2518.9503646341745,2672.888300008875,0.06444424673705779,32.20159648362214
72,10,18180,2173.0734624627053,2672.741132942889,2537.6276260248737,2517.6095743595333,2672.879708053609,0.0644464155209879,32.20179031417
72,10,18360,2173.0709333268105,2672.7232958622626,2536.286802176719,2516.2687839712326,2672.8705983593954,0.06444867909892377,32.201934774066494
72,10,18540,2173.0686814591168,2672.7045094337345,2534.945979370575,2514.927995048476,2672.8609490100303,0.06445104868559695,32.20205307386063
72,10,18720,2173.0658142747593,2672.684511972791,2533.605154728295,2513.58717632927,2672.8506079895774,0.06445371156833227,32.202279435574745
72,10,18900,2173.0627347176696,2672.663460975096,2532.264330270988,2512.2463704134525,2672.8396611297485,0.06445641992630767,32.20247420713691
72,10,19080,2173.060598704288,2672.6411233652457,2530.9235044161987,2510.905548896669,2672.8279698918245,0.06445936283206105,32.202642302952086
72,10,19260,2173.058350073995,2672.617510967849,2529.5826783410484,2509.564740679728,2672.8155365550906,0.06446241952645394,32.202792207822945
72,10,19440,2173.055905106008,2672.592796698417,2528.2418544499933,2508.223964687357,2672.8024575871377,0.06446550356112778,32.20289726386512
72,10,19620,2173.0535942051083,2672.5668673362516,2526.9010328142726,2506.8832007910005,2672.78866355496,0.0644687564176395,32.20299953286949
72,10,19800,2173.051508717307,2672.539590558301,2525.5602123738527,2505.5424286875586,2672.7740732555426,0.0644722432826285,32.20311712922603
72,10,19980,2173.0496503814397,2672.5108952000164,2524.2193923621444,2504.201641888708,2672.7586404405747,0.06447594309210733,32.20323479763566
72,10,20160,2173.0479071910713,2672.480720669899,2522.8785725404427,2502.860847419977,2672.742324487067,0.06447983546933443,32.203345641101556
72,10,20340,2173.0461296886447,2672.4490071255536,2521.537752941407,2501.520052445838,2672.725084790724,0.06448392169849455,32.203456044644504
72,10,20520,2173.044239746416,2672.415693536678,2520.1969336197462,2500.179261169043,2672.7068796794165,0.06448821253362878,32.20357244525357
72,10,20700,2173.0422991174864,2672.380717296485,2518.8561146535185,2498.8384736553394,2672.687666187194,0.06449271851375786,32.203692046723226
72,10,20880,2173.0404677659776,2672.3440141452343,2517.515296086,2497.4976886946797,2672.6673999928653,0.06449744840793928,32.20380472249725
72,10,21060,2173.0389986882283,2672.3052680906426,2516.1744753850016,2496.1568721468007,2672.6458824704046,0.0645025715641391,32.20395827168998
72,10,21240,2173.0377375153307,2672.2647401055247,2514.833654488497,2494.816062541005,2672.623266862415,0.06450780292450127,32.20403709767774
72,10,21420,2173.036369280287,2672.222145461033,2513.4928331168435,2493.4752557517713,2672.5993710790212,0.06451333687307827,32.204140140997545
72,10,21600,2173.0348454546784,2672.177656286199,2512.1520126873797,2492.134467268259,2672.5742958455444,0.06451903153410055,32.204210752058444
72,10,21780,2173.033283121124,2672.131228518929,2510.81119451838,2490.7937040082925,2672.548007758262,0.06452492366339926,32.20425682735279
72,10,21960,2173.0319422928465,2672.0823798698293,2509.470374930337,2489.4529098231374,2672.5201999716674,0.06453134598561674,32.204396451553706
72,10,22140,2173.030844920354,2672.031405204052,2508.129555378307,2488.112119870333,2672.491050180835,0.06453793039671751,32.20446342751232
72,10,22320,2173.0298747245847,2671.9782774484606,2506.7887380585216,2486.7713566309717,2672.4605343479566,0.06454468215322637,32.20446606467253
72,10,22500,2173.028591685243,2671.9222890029323,2505.4479147159127,2485.4304998625043,2672.4281988909647,0.06455220361048832,32.20468752924083
72,10,22680,2173.027205941984,2671.8640025749423,2504.1070915393248,2484.089679261968,2672.39439129345,0.06455972706188226,32.204767439047465
72,10,22860,2173.026386932809,2671.8029525586335,2502.766266635643,2482.7488671029305,2672.3588054225643,0.06456769779440802,32.20485455626094
72,10,23040,2173.02547713554,2671.739157044529,2501.425442415103,2481.4080777112154,2672.3214446147804,0.06457593786401093,32.20490360573514
72,10,23220,2173.024429309636,2671.672986835467,2500.084623133679,2480.0673389644944,2672.2825402669446,0.06458427432204192,32.204855229538765
72,10,23400,2173.0234273350757,2671.604210977719,2498.7438084501987,2478.726616205529,2672.241937594513,0.06459299293349714,32.20482503460665
72,10,23580,2173.022515267152,2671.5325728769067,2497.4029961110928,2477.385875030025,2672.1994640992616,0.064602211982251,32.20485241698953
72,10,23760,2173.0217087562105,2671.4579480238363,2496.0621845662595,2476.0451115364576,2672.155030864021,0.06461188031075157,32.204902634101
72,10,23940,2173.0209686265266,2671.3802366219106,2494.721373366101,2474.704339929006,2672.108563722476,0.06462195330551193,32.2049493457668
72,10,24120,2173.020223378262,2671.299342073702,2493.3805625597047,2473.3635687562514,2672.059990000979,0.06463243144665903,32.20499098038471
