hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,44100.0,2673,2672.68729566412,2672.839424562264,2672.9392485100284,2672.223932076868,0.4895396221031698,1.0091514861606912,37.96412827934252
5,2,44280.0,2673,2672.6992630222185,2672.845697062869,2672.9417061938143,2672.252438140882,0.4895396221031701,1.0091641632944035,36.51122128099315
5,2,44460.0,2673,2672.7107834349217,2672.851729558322,2672.944066229283,2672.279928741362,0.4895396221031699,1.009176355039205,35.11257605765037
5,2,44640.0,2673,2672.721873142863,2672.8575310181245,2672.946332422003,2672.3064387032628,0.4895396221031699,1.0091880795322643,33.76622090182634
5,2,44820.0,2673,2672.7325477998597,2672.863110085972,2672.948508434302,2672.3320017153737,0.4895396221031696,1.0091993542516313,32.47025534885752
5,2,45000.0,2673,2672.7428225568274,2672.868475090053,2672.950597786305,2672.3566503650914,0.4895396221031693,1.0092101960387585,31.22283998935787
5,2,45180.0,2673,2672.752711919627,2672.8736340567,2672.9526038670533,2672.380416171069,0.4895396221031693,1.0092206211222225,30.022213727269154
5,2,45360.0,2673,2672.762229965195,2672.878594718916,2672.954529936726,2672.4033296167427,0.4895396221031693,1.00923064513992,28.86666754052438
5,2,45540.0,2673,2672.771390216526,2672.88336452855,2672.9563791356195,2672.4254201812364,0.4895396221031698,1.0092402831593774,27.75455965871362
5,2,45720.0,2673,2672.7802058057127,2672.8879506638823,2672.958154475552,2672.446716371414,0.4895396221031707,1.0092495496972786,26.684295769340363
5,2,45900.0,2673,2672.788689356304,2672.8923600407243,2672.9598588511803,2672.4672457511624,0.4895396221031701,1.0092584587380513,25.65434329999753
5,2,46080.0,2673,2672.796853040721,2672.896599321296,2672.961495048046,2672.4870349709468,0.4895396221031693,1.0092670237537,24.663224447847867
5,2,46260.0,2673,2672.804708565371,2672.9006749237947,2672.9630657496364,2672.5061097962325,0.4895396221031703,1.0092752577227582,23.70951798683444
5,2,46440.0,2673,2672.8122672926,2672.904593029852,2672.964573529866,2672.524495135697,0.4895396221031708,1.0092831731470302,22.791844461957563
5,2,46620.0,2673,2672.819540116404,2672.908359594559,2672.966020868605,2672.542215067429,0.4895396221031699,1.0092907820683792,21.908881278661674
