% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 18:19"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
4265,517.8017564939247,500,519.0672871676669
4266,517.7932911624773,500,519.0581146619337
4267,517.7848258310303,500,519.0489421562003
4268,517.7763604995832,500,519.0397696504671
4269,517.7678951681362,500,519.0305971447336
4270,517.759429836689,500,519.0214246390003
4271,517.7509645052419,500,519.012252133267
4272,517.7424991737951,500,519.0030796275337
4273,517.7340338423479,500,518.9939071218004
4274,517.7255685109009,500,518.984734616067
4275,517.7171031794538,500,518.9755621103337
4276,517.7086378480066,500,518.9663896046004
4277,517.7001725165596,500,518.957217098867
4278,517.6917071851128,500,518.9480445931338
4279,517.6832418536654,500,518.9388720874003
4280,517.6747765222184,500,518.9296995816671
4281,517.6663111907714,500,518.9205270759337
4282,517.6578458593242,500,518.9113545702005
4283,517.6493805278773,500,518.9021820644671
4284,517.64091519643,500,518.8930095587339
4285,517.6324498649832,500,518.8838370530004
4286,517.623984533536,500,518.8746645472672
4287,517.6155192020891,500,518.8654920415338
4288,517.607053870642,500,518.8563195358005
4289,517.598588539195,500,518.8471470300672
4290,517.5901232077478,500,518.8379745243338
4291,517.5816578763007,500,518.8288020186005
4292,517.5731925448537,500,518.8196295128672
4293,517.5647272134065,500,518.8104570071339
4294,517.5562618819591,500,518.8012845014006
4295,517.5477965505123,500,518.7921119956673
4296,517.5393312190653,500,518.7829394899339
4297,517.5308658876185,500,518.7737669842005
4298,517.5224005561711,500,518.7645944784673
4299,517.5139352247238,500,518.7554219727339
4300,517.5054698932768,500,518.7462494670007
4301,517.49700456183,500,518.7370769612672
4302,517.4885392303829,500,518.727904455534
4303,517.4800738989359,500,518.7187319498006
4304,517.4716085674887,500,518.7095594440674
4305,517.4631432360417,500,518.700386938334
4306,517.4546779045946,500,518.6912144326008
4307,517.4462125731475,500,518.6820419268673
4308,517.4377472417004,500,518.672869421134
4309,517.4292819102533,500,518.6636969154007
4310,517.4208165788065,500,518.6545244096674
4311,517.4123512473594,500,518.645351903934
4312,517.4038859159123,500,518.6361793982007
4313,517.3954205844651,500,518.6270068924674
4314,517.3869552530181,500,518.6178343867341
4315,517.378489921571,500,518.6086618810008
4316,517.3700245901238,500,518.5994893752675
4317,517.3615592586768,500,518.5903168695343
4318,517.3530939272299,500,518.5811443638008
4319,517.3446285957828,500,518.5719718580675
4320,517.3361632643354,500,518.5627993523342
4321,517.3276979328889,500,518.5536268466009
4322,517.3192326014416,500,518.5444543408676
4323,517.3107672699945,500,518.5352818351342
4324,517.3023019385475,500,518.5261093294009
4325,517.2938366071004,500,518.5169368236676
4326,517.2853712756533,500,518.5077643179343
4327,517.2769059442063,500,518.498591812201
4328,517.2684406127593,500,518.4894193064675
4329,517.259975281312,500,518.4802468007343
4330,517.2515099498653,500,518.4710742950009
4331,517.2430446184179,500,518.4619017892677
4332,517.2345792869709,500,518.4527292835343
4333,517.2261139555238,500,518.4435567778011
4334,517.2176486240766,500,518.4343842720676
4335,517.2091832926296,500,518.4252117663344
4336,517.2007179611825,500,518.416039260601
4337,517.1922526297358,500,518.4068667548678
4338,517.1837872982884,500,518.3976942491344
4339,517.1753219668414,500,518.388521743401
4340,517.1668566353945,500,518.3793492376677
4341,517.1583913039472,500,518.3701767319344
4342,517.1499259725003,500,518.3610042262011
4343,517.1414606410532,500,518.3518317204678
4344,517.1329953096061,500,518.3426592147345
4345,517.1245299781589,500,518.3334867090011
4346,517.1160646467117,500,518.3243142032678
4347,517.1075993152647,500,518.3151416975345
4348,517.0991339838178,500,518.3059691918011
4349,517.0906686523708,500,518.2967966860679
4350,517.0822033209236,500,518.2876241803344
4351,517.0737379894769,500,518.2784516746012
4352,517.0652726580297,500,518.2692791688678
4353,517.0568073265825,500,518.2601066631346
4354,517.0483419951354,500,518.2509341574012
4355,517.0398766636883,500,518.241761651668
4356,517.0314113322412,500,518.2325891459345
4357,517.0229460007944,500,518.2234166402013
4358,517.0144806693468,500,518.2142441344679
4359,517.0060153379001,500,518.2050716287346
4360,516.9975500064529,500,518.1958991230013
4361,516.9890846750061,500,518.1867266172679
4362,516.9806193435589,500,518.1775541115346
4363,516.9721540121116,500,518.1683816058013
4364,516.9636886806645,500,518.159209100068
4365,516.9552233492177,500,518.1500365943347
4366,516.9467580177704,500,518.1408640886013
4367,516.9382926863234,500,518.131691582868
4368,516.9298273548766,500,518.1225190771346
4369,516.9213620234293,500,518.1133465714014
