% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,813.6,2673.0000000000014,2178.1847523507777,2275.0833772059714,2672.9999999999955,2178.147340376625,2673.0000000000023,2178.1092730580913,2238.5361396397566,2212.673714068723,2173.8869932158645
4,820.8000000000001,2673.0000000000014,2178.2364309633035,2275.867261319532,2672.9999999999955,2178.1918411828938,2673.0000000000023,2178.146697651049,2239.1093172429464,2213.0640593721305,2173.904139
4,828,2673.0000000000014,2178.2921046465126,2276.6494652144756,2672.9999999999955,2178.2410993587873,2673.0000000000023,2178.1898528595193,2239.6819833190625,2213.4544628099497,2173.921436839293
4,835.2,2673.0000000000014,2178.348709323393,2277.4299820124274,2672.9999999999955,2178.294115785117,2673.0000000000023,2178.2397820854803,2240.254130471593,2213.8449295053542,2173.9388700768973
4,842.4,2673.0000000000014,2178.401119477595,2278.208815,2672.9999999999955,2178.347914194891,2673.0000000000023,2178.2955183650247,2240.8257259431352,2214.2355022850497,2173.956418864524
4,849.6,2673.0000000000014,2178.446845271582,2278.985962652249,2672.9999999999955,2178.3994743524677,2673.0000000000023,2178.353209520619,2241.396765008012,2214.6261849619577,2173.974067753712
4,856.8000000000001,2673.0000000000014,2178.487912375571,2279.761438871952,2672.9999999999955,2178.4472611706337,2673.0000000000023,2178.4074191041764,2241.9672758044603,2215.0169899155317,2173.9918130402366
4,864,2673.0000000000014,2178.5293045548606,2280.535238945367,2672.9999999999955,2178.491888449481,2673.0000000000023,2178.4545627873313,2242.537292,2215.407890114579,2174.009662
4,871.2,2673.0000000000014,2178.5735401051265,2281.307373233823,2672.9999999999955,2178.5352588211963,2673.0000000000023,2178.496567071176,2243.106781074412,2215.7988511664303,2174.027634311012
4,878.4,2673.0000000000014,2178.6231140969626,2282.0778494963743,2672.9999999999955,2178.5800491512896,2673.0000000000023,2178.5364670341623,2243.6757546976155,2216.1898581759847,2174.0457475662593
4,885.6,2673.0000000000014,2178.676722944806,2282.8466693681535,2672.9999999999955,2178.6280035026807,2673.0000000000023,2178.5789431861044,2244.2441662398073,2216.58094,2174.0640116428444
